areaid,districtid,percent
16047,83,1
146721,103,1
187778,83,0.985646124533679
44371,265,1
130610,265,1
143012,265,1
61061,99,1
28618,391,0.390626876185749
169620,414,1
45409,114,1
50025,151,1
135302,190,1
135312,361,1
56852,212,1
11722,309,0.013546113193658
78566,293,1
117218,70,1
103879,6,0.089478780700561
86854,105,1
167935,105,1
129611,90,1
110578,90,1
45652,83,0.8545078358866
41123,312,1
179989,83,1
93130,108,0.214166820047855
129102,103,1
186527,103,1
183682,92,1
135557,30,0.226893681725421
50498,185,0.403070287744455
182670,268,1
131075,151,1
45701,270,1
159855,332,1
47549,56,1
41863,98,1
63476,219,0.768031415373038
48429,267,1
133161,116,1
118213,270,1
183600,216,1
21734,190,1
26185,56,1
22682,385,0.281954736791562
11130,212,0.003915671083629
116938,272,1
148270,309,1
20125,161,1
32255,282,1
25805,296,1
190143,405,1
150107,367,0.626088730810932
177240,405,1
82683,370,0.570549937775359
101087,105,1
103718,6,0.442778086774197
174874,135,0.321470163320354
72343,144,0.267493303759103
181320,144,1
177529,265,1
30315,265,1
87290,265,1
171496,332,1
39226,167,1
10615,15,1
82093,366,1
131449,309,1
75115,405,1
116199,98,1
181009,108,0.932790492957747
89664,312,1
98538,312,1
161966,30,1
37198,92,1
23975,144,0.251189084445014
98498,36,0.999127424099906
102570,391,0.175315500658419
182227,414,1
14112,391,0.284570124879923
178137,270,1
129965,216,1
172306,43,1
126390,18,0.588813789793633
105414,138,1
124418,138,1
156194,166,1
66252,166,1
185514,53,1
163627,265,1
60911,265,1
126988,265,1
183542,267,1
153,149,0.047914566028073
57957,265,1
33586,265,1
87618,99,1
176239,134,1
40526,92,1
26111,424,1
169765,145,1
103888,267,1
131549,116,1
136209,132,1
186678,132,0.41382125534265
77418,116,1
153853,182,1
92755,397,1
136152,166,1
117400,66,1
73426,454,0.093186392793831
189068,161,1
150562,282,1
83340,121,1
109387,296,0.094259801802667
26596,154,1
98497,296,1
173676,296,0.009794425142894
24440,379,1
18054,265,1
60808,265,1
141015,265,1
72559,30,0.785268659284722
13283,30,1
147089,30,1
119015,430,1
154639,116,1
146906,430,1
182081,235,1
91364,122,1
150923,466,1
155772,394,0.975631613690464
75439,407,1
178196,132,1
73692,370,1
5289,332,1
104423,43,1
7595,151,1
165817,344,1
160423,166,0.389685088817513
97523,146,0.173305003361183
94065,215,1
53840,159,1
89517,175,0.317665841079052
30143,175,1
125210,379,1
118335,196,1
159335,196,1
54079,362,1
30292,16,1
132287,380,1
24670,144,1
175433,149,0.35999071673229
117186,116,1
38400,132,0.992548154847901
45756,165,0.09244255598366
190154,370,1
55392,270,0.909334858349463
172144,167,1
128930,151,1
119811,114,0.67452414875054
143025,166,1
66907,296,1
33210,161,0.086554584855749
112811,461,1
97275,405,1
5379,463,1
92007,146,1
44573,196,1
173369,196,1
175908,113,1
49186,466,1
103388,394,0.123045656035462
90775,464,1
86727,463,1
170203,405,1
61246,215,1
24776,105,1
58353,105,1
97773,105,1
81977,135,0.070064994316999
116740,265,1
63573,216,1
88962,270,1
115783,216,1
16929,396,1
30755,438,0.746293865266393
61403,144,0.513544135545449
179732,380,0.936369090472762
111795,307,0.091509645222176
30612,157,1
126347,103,1
7134,132,1
18997,407,1
175642,253,1
112246,121,1
107309,63,1
26520,105,1
9444,362,1
48097,262,1
51725,113,0.084128235816845
103161,467,1
20241,119,0.98527769885511
43986,435,1
161552,160,0.586785688563815
44344,90,0.16747450509898
98644,157,1
104725,77,1
104212,265,1
179840,265,1
121140,332,0.081038917401026
120784,43,1
161206,216,1
25054,30,1
158586,414,1
81657,80,1
105636,267,1
150989,132,1
112522,132,1
